shipment_id,carrier_id,tracking_number,status,origin,destination,shipment_date,name,vehicle_type,capacity,warehouse_id,location,warehouse_capacity,latitude,longitude
74,45,Hi0782,Delayed,Marinha Grande,Bragança,2025-01-27,Howard Inc,Ship,4232,27,Marinha Grande,6906,39.75,-8.933333
227,96,qi5960,Delivered,Espinho,Covilhã,2025-01-31,Todd-Oconnor,Truck,1583,13,Espinho,1599,41.007599,-8.6414
1129,77,dt6241,Delivered,Vila Franca de Xira,Elvas,2025-02-04,Henderson-Rivera,Van,2972,28,Vila Franca de Xira,2661,38.955601,-8.98923
1176,25,wA6593,Delayed,Odemira,Lisboa,2025-02-20,"Barnes, Armstrong and Mathews",Ship,7220,26,Odemira,5737,37.598801,-8.64554
1018,2,sX8580,In Transit,Águeda,Golegã,2025-01-12,Gray-Le,Van,5538,4,Águeda,3948,40.577801,-8.44442
512,20,PD8435,In Transit,Coimbra,Águeda,2025-02-20,"Garcia, Spears and Thompson",Ship,8037,17,Coimbra,8640,40.203314,-8.410257
380,45,vD1158,Delivered,Marinha Grande,Covilhã,2025-01-29,Howard Inc,Ship,4232,27,Marinha Grande,6906,39.75,-8.933333
1493,26,it4817,In Transit,Vila Real,Bragança,2025-01-03,Tanner LLC,Ship,7088,12,Vila Real,9997,41.300621,-7.744129
683,60,dM2901,Delayed,Sines,Vila Franca de Xira,2025-01-06,Hayes-Anderson,Van,3810,24,Sines,1091,37.956081,-8.86889
1177,14,vs9625,In Transit,Ponte de Lima,Valongo,2025-01-26,Griffith-Horne,Van,2917,22,Ponte de Lima,1050,41.767368,-8.58316
335,46,qc5040,Delivered,Faro,Guimarães,2025-01-18,May-Hayes,Ship,1488,8,Faro,5806,37.017963,-7.930834
375,40,Uc4992,In Transit,Portalegre,Águeda,2025-02-21,Moreno Inc,Truck,4241,5,Portalegre,2516,39.2938,-7.42888
98,88,LJ5287,Delayed,Bragança,Espinho,2025-02-07,Mays-Collier,Truck,5012,15,Bragança,4769,41.806439,-6.756742
723,4,GT5229,Delayed,Elvas,Espinho,2025-01-01,Ross LLC,Truck,1955,11,Elvas,8814,38.881153,-7.162814
460,94,JI6700,In Transit,Odemira,Sines,2025-02-06,"Henderson, Hanson and Middleton",Truck,8830,26,Odemira,5737,37.598801,-8.64554
596,7,Yl6524,Delayed,Famalicão,Marinha Grande,2025-02-19,Calderon-Miller,Van,3362,7,Famalicão,2248,41.410328,-8.519728
371,94,Bw1332,Delivered,Odemira,Golegã,2025-02-14,"Henderson, Hanson and Middleton",Truck,8830,26,Odemira,5737,37.598801,-8.64554
734,82,hK0177,In Transit,Porto,Portalegre,2025-01-18,Bridges Ltd,Truck,3111,23,Porto,3279,41.157944,-8.629105
489,34,TP5029,Delayed,Elvas,Bragança,2025-02-18,Oconnell-Anderson,Truck,3928,11,Elvas,8814,38.881153,-7.162814
855,78,lU3709,In Transit,Valongo,Covilhã,2025-01-14,Keith-Woods,Ship,9186,25,Valongo,1547,41.195999,-8.4958
1317,36,dy9522,Delayed,Coimbra,Murtosa,2025-02-11,Walker Group,Truck,1689,17,Coimbra,8640,40.203314,-8.410257
964,62,im9127,Delayed,Águeda,Murtosa,2025-02-18,"Nichols, Vazquez and Sullivan",Van,1742,4,Águeda,3948,40.577801,-8.44442
949,23,bR8485,Delayed,Guimarães,Murtosa,2025-01-31,"Pollard, Walker and Arnold",Ship,4969,29,Guimarães,2700,41.444858,-8.296193
31,32,LX6157,Delivered,Coimbra,Palmela,2025-02-13,Gutierrez-Harris,Van,1181,17,Coimbra,8640,40.203314,-8.410257
695,44,ba4503,Delivered,Odemira,Espinho,2025-02-02,Allen-Hill,Van,9214,26,Odemira,5737,37.598801,-8.64554
973,93,rD5151,In Transit,Aveiro,Portalegre,2025-01-11,"Ortiz, Smith and Johnson",Ship,4718,20,Aveiro,6266,40.640505,-8.653754
219,57,mD4111,Delivered,Vila Franca de Xira,Ponte de Lima,2025-01-28,"Wade, Bennett and Santana",Truck,8837,28,Vila Franca de Xira,2661,38.955601,-8.98923
1250,83,Qo3456,In Transit,Braga,Famalicão,2025-01-01,Navarro Ltd,Ship,8947,14,Braga,8677,41.545448,-8.426507
1155,79,IL6199,Delayed,Famalicão,Palmela,2025-01-18,"Wade, Williams and Clark",Van,8274,7,Famalicão,2248,41.410328,-8.519728
884,27,gy1141,In Transit,Lisboa,Elvas,2025-01-19,Weaver-Lopez,Ship,6823,10,Lisboa,4793,38.722252,-9.139337
1215,19,Ls2651,In Transit,Oeiras,Porto,2025-01-27,"Smith, Barnes and Ramsey",Truck,1136,30,Oeiras,5009,38.697948,-9.316354
1298,100,Go0465,Delivered,Palmela,Sintra,2025-02-21,"Hardy, Harris and Lewis",Van,6451,2,Palmela,9924,38.569801,-8.90193
120,95,Xt4763,Delayed,Viseu,Matosinhos,2025-02-09,Contreras PLC,Truck,2645,6,Viseu,1421,40.661011,-7.90971
770,40,zV2418,Delayed,Portalegre,Vila Real,2025-02-11,Moreno Inc,Truck,4241,5,Portalegre,2516,39.2938,-7.42888
876,2,Du8791,In Transit,Águeda,Murtosa,2025-01-16,Gray-Le,Van,5538,4,Águeda,3948,40.577801,-8.44442
346,32,ze9166,Delivered,Coimbra,Lisboa,2025-02-14,Gutierrez-Harris,Van,1181,17,Coimbra,8640,40.203314,-8.410257
538,56,kh5834,Delayed,Palmela,Bragança,2025-02-09,Adams LLC,Ship,4752,2,Palmela,9924,38.569801,-8.90193
493,7,XE1316,Delivered,Famalicão,Viseu,2025-01-04,Calderon-Miller,Van,3362,7,Famalicão,2248,41.410328,-8.519728
218,21,Pw5683,Delivered,Matosinhos,Espinho,2025-01-17,Anderson-Jennings,Ship,3849,19,Matosinhos,7501,41.182836,-8.689084
58,5,Eu5267,In Transit,Braga,Bragança,2025-01-07,Smith-Henderson,Truck,6718,14,Braga,8677,41.545448,-8.426507
1370,73,wI2103,In Transit,Braga,Vila Real,2025-01-19,"Smith, Lewis and Luna",Truck,5944,14,Braga,8677,41.545448,-8.426507
1489,6,Nv0501,Delivered,Sines,Valongo,2025-02-03,White-Moore,Truck,3006,24,Sines,1091,37.956081,-8.86889
1440,90,Zt3538,In Transit,Covilhã,Espinho,2025-01-16,Rocha PLC,Truck,2116,3,Covilhã,6586,40.286011,-7.50453
592,67,vf2631,In Transit,Braga,Espinho,2025-02-05,"Hunt, Thompson and Garcia",Truck,8389,14,Braga,8677,41.545448,-8.426507
1154,27,Jr9079,Delivered,Lisboa,Braga,2025-02-03,Weaver-Lopez,Ship,6823,10,Lisboa,4793,38.722252,-9.139337
1291,84,jH7544,Delayed,Espinho,Lisboa,2025-01-09,Porter Inc,Truck,8282,13,Espinho,1599,41.007599,-8.6414
996,97,zD0426,In Transit,Guimarães,Sintra,2025-01-13,Chen-Lopez,Truck,3532,29,Guimarães,2700,41.444858,-8.296193
321,51,Hc0370,Delayed,Palmela,Golegã,2025-02-18,Johnson and Sons,Truck,3772,2,Palmela,9924,38.569801,-8.90193
733,3,WT0924,Delivered,Valongo,Braga,2025-01-21,Parker PLC,Truck,8636,25,Valongo,1547,41.195999,-8.4958
830,56,gV8549,In Transit,Palmela,Marinha Grande,2025-01-30,Adams LLC,Ship,4752,2,Palmela,9924,38.569801,-8.90193
1222,33,fK5739,Delivered,Matosinhos,Odemira,2025-01-24,Gates-Smith,Ship,2654,19,Matosinhos,7501,41.182836,-8.689084
1166,80,Tr9370,Delayed,Águeda,Coimbra,2025-01-27,Miller-Hardy,Van,4667,4,Águeda,3948,40.577801,-8.44442
1340,31,um1927,Delivered,Valongo,Sines,2025-01-09,"Davis, Smith and Lee",Van,9281,25,Valongo,1547,41.195999,-8.4958
420,78,Jw8914,In Transit,Valongo,Bragança,2025-01-22,Keith-Woods,Ship,9186,25,Valongo,1547,41.195999,-8.4958
711,88,jk8661,Delivered,Bragança,Oeiras,2025-02-15,Mays-Collier,Truck,5012,15,Bragança,4769,41.806439,-6.756742
1041,50,sr1421,Delivered,Aveiro,Portalegre,2025-01-31,"Foster, Green and Hall",Ship,4548,20,Aveiro,6266,40.640505,-8.653754
770,93,By0662,Delivered,Aveiro,Lisboa,2025-02-11,"Ortiz, Smith and Johnson",Ship,4718,20,Aveiro,6266,40.640505,-8.653754
695,23,zy4608,In Transit,Guimarães,Odemira,2025-02-02,"Pollard, Walker and Arnold",Ship,4969,29,Guimarães,2700,41.444858,-8.296193
1302,10,qB9967,In Transit,Vila Real,Vila Franca de Xira,2025-01-27,"Ortiz, Vargas and Johnson",Truck,2472,12,Vila Real,9997,41.300621,-7.744129
1328,40,za3441,In Transit,Portalegre,Marinha Grande,2025-01-20,Moreno Inc,Truck,4241,5,Portalegre,2516,39.2938,-7.42888
1086,82,XQ3208,Delivered,Porto,Aveiro,2025-02-18,Bridges Ltd,Truck,3111,23,Porto,3279,41.157944,-8.629105
640,81,to3429,In Transit,Covilhã,Portalegre,2025-02-17,"Collins, Meyer and Harris",Van,9505,3,Covilhã,6586,40.286011,-7.50453
999,85,vb9108,In Transit,Golegã,Sines,2025-01-19,Dickerson-Navarro,Van,1156,18,Golegã,4292,39.404999,-8.486
858,95,yf0994,Delivered,Viseu,Golegã,2025-02-07,Contreras PLC,Truck,2645,6,Viseu,1421,40.661011,-7.90971
945,31,Ge2888,In Transit,Valongo,Viseu,2025-01-30,"Davis, Smith and Lee",Van,9281,25,Valongo,1547,41.195999,-8.4958
272,28,LD0395,Delayed,Oeiras,Golegã,2025-01-03,Graham PLC,Van,4355,30,Oeiras,5009,38.697948,-9.316354
869,35,ev3789,Delayed,Aveiro,Golegã,2025-01-11,Bender-Lee,Ship,7510,20,Aveiro,6266,40.640505,-8.653754
683,100,YZ5145,In Transit,Palmela,Espinho,2025-01-06,"Hardy, Harris and Lewis",Van,6451,2,Palmela,9924,38.569801,-8.90193
488,34,uk3548,Delivered,Elvas,Covilhã,2025-01-01,Oconnell-Anderson,Truck,3928,11,Elvas,8814,38.881153,-7.162814
1200,46,jv2571,Delayed,Faro,Golegã,2025-02-10,May-Hayes,Ship,1488,8,Faro,5806,37.017963,-7.930834
204,98,jS1846,Delayed,Braga,Valongo,2025-02-02,Jacobson-Mann,Van,7026,14,Braga,8677,41.545448,-8.426507
727,90,tr5766,In Transit,Covilhã,Matosinhos,2025-01-27,Rocha PLC,Truck,2116,3,Covilhã,6586,40.286011,-7.50453
699,14,CW3020,Delivered,Ponte de Lima,Covilhã,2025-02-15,Griffith-Horne,Van,2917,22,Ponte de Lima,1050,41.767368,-8.58316
579,87,nq9996,In Transit,Famalicão,Covilhã,2025-01-31,Nolan-Roberts,Truck,2615,7,Famalicão,2248,41.410328,-8.519728
112,80,BE3916,In Transit,Águeda,Golegã,2025-01-21,Miller-Hardy,Van,4667,4,Águeda,3948,40.577801,-8.44442
426,13,Kf6197,Delivered,Covilhã,Espinho,2025-01-07,"Jones, Porter and Butler",Van,7419,3,Covilhã,6586,40.286011,-7.50453
729,1,QW4112,In Transit,Braga,Portalegre,2025-02-08,"Martinez, Johnson and Oconnor",Ship,8109,14,Braga,8677,41.545448,-8.426507
597,89,di0371,In Transit,Matosinhos,Coimbra,2025-01-28,"Marquez, Ray and Hernandez",Van,4776,19,Matosinhos,7501,41.182836,-8.689084
979,78,Jz0284,Delivered,Valongo,Guimarães,2025-01-21,Keith-Woods,Ship,9186,25,Valongo,1547,41.195999,-8.4958
879,70,UE6940,In Transit,Viseu,Espinho,2025-01-14,Landry-Holt,Van,1213,6,Viseu,1421,40.661011,-7.90971
1310,74,Op8691,In Transit,Porto,Matosinhos,2025-01-22,Stone-Richardson,Ship,2451,23,Porto,3279,41.157944,-8.629105
1248,64,fx4553,Delayed,Lisboa,Aveiro,2025-01-23,Hopkins-Patel,Truck,2654,10,Lisboa,4793,38.722252,-9.139337
338,57,KB6262,In Transit,Vila Franca de Xira,Espinho,2025-02-15,"Wade, Bennett and Santana",Truck,8837,28,Vila Franca de Xira,2661,38.955601,-8.98923
1058,94,Ct9008,Delivered,Odemira,Faro,2025-01-15,"Henderson, Hanson and Middleton",Truck,8830,26,Odemira,5737,37.598801,-8.64554
1106,60,Zr0803,Delivered,Sines,Ponte de Lima,2025-02-16,Hayes-Anderson,Van,3810,24,Sines,1091,37.956081,-8.86889
339,100,za2261,Delayed,Palmela,Vila Real,2025-01-18,"Hardy, Harris and Lewis",Van,6451,2,Palmela,9924,38.569801,-8.90193
211,61,cF9603,In Transit,Famalicão,Viseu,2025-02-05,"Carrillo, Cox and Gentry",Truck,7909,7,Famalicão,2248,41.410328,-8.519728
25,98,fS0926,Delayed,Braga,Vila Franca de Xira,2025-01-24,Jacobson-Mann,Van,7026,14,Braga,8677,41.545448,-8.426507
916,65,lo8981,Delivered,Espinho,Águeda,2025-02-12,"Graham, Barnes and Lawrence",Van,6497,13,Espinho,1599,41.007599,-8.6414
1025,38,el3682,Delivered,Marinha Grande,Covilhã,2025-02-08,"Murphy, Hogan and Glass",Ship,6857,27,Marinha Grande,6906,39.75,-8.933333
788,19,pn9320,Delivered,Oeiras,Bragança,2025-02-04,"Smith, Barnes and Ramsey",Truck,1136,30,Oeiras,5009,38.697948,-9.316354
529,85,RQ9206,Delivered,Golegã,Odemira,2025-02-16,Dickerson-Navarro,Van,1156,18,Golegã,4292,39.404999,-8.486
79,49,jr6817,Delivered,Ponte de Lima,Sines,2025-02-18,Sexton-Pierce,Truck,7265,22,Ponte de Lima,1050,41.767368,-8.58316
255,30,CH7701,In Transit,Braga,Valongo,2025-01-02,"Bailey, Stevens and Jones",Van,5924,14,Braga,8677,41.545448,-8.426507
196,22,yo0367,Delayed,Portalegre,Elvas,2025-01-29,Kelly-Lewis,Truck,2477,5,Portalegre,2516,39.2938,-7.42888
378,80,rR6180,Delivered,Águeda,Faro,2025-01-16,Miller-Hardy,Van,4667,4,Águeda,3948,40.577801,-8.44442
12,59,Iy2835,In Transit,Espinho,Aveiro,2025-01-08,Byrd-Bell,Truck,4104,13,Espinho,1599,41.007599,-8.6414
452,22,ci3803,In Transit,Portalegre,Vila Franca de Xira,2025-01-07,Kelly-Lewis,Truck,2477,5,Portalegre,2516,39.2938,-7.42888
758,58,BR7075,In Transit,Palmela,Portalegre,2025-01-29,Taylor-Lucas,Ship,4029,2,Palmela,9924,38.569801,-8.90193
962,6,fS8211,In Transit,Sines,Vila Real,2025-02-12,White-Moore,Truck,3006,24,Sines,1091,37.956081,-8.86889
1040,87,Jd3386,In Transit,Famalicão,Elvas,2025-01-09,Nolan-Roberts,Truck,2615,7,Famalicão,2248,41.410328,-8.519728
46,4,JD7845,In Transit,Elvas,Covilhã,2025-02-05,Ross LLC,Truck,1955,11,Elvas,8814,38.881153,-7.162814
10,25,sh0218,Delayed,Odemira,Portalegre,2025-01-03,"Barnes, Armstrong and Mathews",Ship,7220,26,Odemira,5737,37.598801,-8.64554
221,45,nj8913,Delayed,Marinha Grande,Bragança,2025-01-04,Howard Inc,Ship,4232,27,Marinha Grande,6906,39.75,-8.933333
59,66,FV9813,Delivered,Portalegre,Sintra,2025-01-03,Kennedy PLC,Truck,9647,5,Portalegre,2516,39.2938,-7.42888
1006,57,uP2703,In Transit,Vila Franca de Xira,Faro,2025-01-28,"Wade, Bennett and Santana",Truck,8837,28,Vila Franca de Xira,2661,38.955601,-8.98923
992,47,qH0727,In Transit,Faro,Odemira,2025-01-18,Smith-Curtis,Truck,8536,8,Faro,5806,37.017963,-7.930834
1067,65,Ce7520,Delivered,Espinho,Matosinhos,2025-01-24,"Graham, Barnes and Lawrence",Van,6497,13,Espinho,1599,41.007599,-8.6414
1388,84,RH8832,Delivered,Espinho,Sines,2025-02-02,Porter Inc,Truck,8282,13,Espinho,1599,41.007599,-8.6414
423,37,To1626,Delivered,Porto,Matosinhos,2025-01-22,Moore-Nguyen,Truck,7085,23,Porto,3279,41.157944,-8.629105
1298,38,Bs0729,Delayed,Marinha Grande,Aveiro,2025-02-21,"Murphy, Hogan and Glass",Ship,6857,27,Marinha Grande,6906,39.75,-8.933333
529,37,tl3991,In Transit,Porto,Sines,2025-02-16,Moore-Nguyen,Truck,7085,23,Porto,3279,41.157944,-8.629105
786,47,PB8571,In Transit,Faro,Águeda,2025-01-07,Smith-Curtis,Truck,8536,8,Faro,5806,37.017963,-7.930834
657,78,uN2469,Delayed,Valongo,Guimarães,2025-02-15,Keith-Woods,Ship,9186,25,Valongo,1547,41.195999,-8.4958
680,75,tj4560,In Transit,Elvas,Águeda,2025-02-15,Brock Ltd,Truck,8196,11,Elvas,8814,38.881153,-7.162814
1231,22,js8972,In Transit,Portalegre,Sines,2025-02-04,Kelly-Lewis,Truck,2477,5,Portalegre,2516,39.2938,-7.42888
230,85,kn4604,Delivered,Golegã,Espinho,2025-01-08,Dickerson-Navarro,Van,1156,18,Golegã,4292,39.404999,-8.486
134,34,xp4427,Delivered,Elvas,Espinho,2025-01-30,Oconnell-Anderson,Truck,3928,11,Elvas,8814,38.881153,-7.162814
249,78,PP8605,Delayed,Valongo,Covilhã,2025-01-25,Keith-Woods,Ship,9186,25,Valongo,1547,41.195999,-8.4958
85,51,eX6692,Delayed,Palmela,Espinho,2025-02-01,Johnson and Sons,Truck,3772,2,Palmela,9924,38.569801,-8.90193
214,92,wk9043,In Transit,Guimarães,Elvas,2025-02-15,"Alvarado, Robinson and Roth",Van,8601,29,Guimarães,2700,41.444858,-8.296193
1054,72,fJ7110,In Transit,Guimarães,Sines,2025-01-26,Reed-Barnes,Truck,4203,29,Guimarães,2700,41.444858,-8.296193
146,8,ny8656,In Transit,Marinha Grande,Espinho,2025-01-02,Smith-Grant,Van,3131,27,Marinha Grande,6906,39.75,-8.933333
242,18,jK8275,In Transit,Lisboa,Sines,2025-01-26,"Fisher, Murphy and Wilson",Van,3893,10,Lisboa,4793,38.722252,-9.139337
1190,72,Vt3689,Delivered,Guimarães,Viseu,2025-01-29,Reed-Barnes,Truck,4203,29,Guimarães,2700,41.444858,-8.296193
563,87,CC2636,In Transit,Famalicão,Guimarães,2025-01-09,Nolan-Roberts,Truck,2615,7,Famalicão,2248,41.410328,-8.519728
454,47,Oo0146,In Transit,Faro,Vila Real,2025-01-11,Smith-Curtis,Truck,8536,8,Faro,5806,37.017963,-7.930834
1335,38,ja1339,In Transit,Marinha Grande,Portalegre,2025-01-18,"Murphy, Hogan and Glass",Ship,6857,27,Marinha Grande,6906,39.75,-8.933333
1208,58,Jh6849,In Transit,Palmela,Sintra,2025-02-06,Taylor-Lucas,Ship,4029,2,Palmela,9924,38.569801,-8.90193
1003,9,db4972,Delivered,Lisboa,Murtosa,2025-02-19,"Patterson, Benton and Garcia",Truck,7841,10,Lisboa,4793,38.722252,-9.139337
1029,48,Ya0690,Delivered,Matosinhos,Odemira,2025-01-15,"Noble, Alvarez and Hammond",Van,8083,19,Matosinhos,7501,41.182836,-8.689084
1495,48,Vw3106,In Transit,Matosinhos,Aveiro,2025-01-04,"Noble, Alvarez and Hammond",Van,8083,19,Matosinhos,7501,41.182836,-8.689084
915,94,PF3561,Delivered,Odemira,Aveiro,2025-01-05,"Henderson, Hanson and Middleton",Truck,8830,26,Odemira,5737,37.598801,-8.64554
840,69,Hi3467,In Transit,Golegã,Porto,2025-02-14,Bell Inc,Van,5273,18,Golegã,4292,39.404999,-8.486
368,33,oT9384,Delivered,Matosinhos,Espinho,2025-02-12,Gates-Smith,Ship,2654,19,Matosinhos,7501,41.182836,-8.689084
1448,5,ox7690,Delayed,Braga,Guimarães,2025-01-04,Smith-Henderson,Truck,6718,14,Braga,8677,41.545448,-8.426507
659,66,Xh2421,Delayed,Portalegre,Sines,2025-01-23,Kennedy PLC,Truck,9647,5,Portalegre,2516,39.2938,-7.42888
1045,42,Ap4459,Delivered,Matosinhos,Elvas,2025-01-17,Ford-Swanson,Truck,9843,19,Matosinhos,7501,41.182836,-8.689084
1431,81,jb5565,In Transit,Covilhã,Vila Franca de Xira,2025-02-08,"Collins, Meyer and Harris",Van,9505,3,Covilhã,6586,40.286011,-7.50453
1297,46,pn8376,Delayed,Faro,Espinho,2025-01-26,May-Hayes,Ship,1488,8,Faro,5806,37.017963,-7.930834
1344,26,rH5377,Delivered,Vila Real,Bragança,2025-01-13,Tanner LLC,Ship,7088,12,Vila Real,9997,41.300621,-7.744129
779,10,Iq3454,Delayed,Vila Real,Valongo,2025-01-23,"Ortiz, Vargas and Johnson",Truck,2472,12,Vila Real,9997,41.300621,-7.744129
263,38,kn6980,Delayed,Marinha Grande,Guimarães,2025-01-28,"Murphy, Hogan and Glass",Ship,6857,27,Marinha Grande,6906,39.75,-8.933333
23,89,Ov6555,Delivered,Matosinhos,Coimbra,2025-01-15,"Marquez, Ray and Hernandez",Van,4776,19,Matosinhos,7501,41.182836,-8.689084
705,73,nC7698,Delayed,Braga,Elvas,2025-02-13,"Smith, Lewis and Luna",Truck,5944,14,Braga,8677,41.545448,-8.426507
322,15,wj8175,Delivered,Sines,Oeiras,2025-01-21,"Smith, Watson and Schultz",Ship,9780,24,Sines,1091,37.956081,-8.86889
1359,72,bm2855,In Transit,Guimarães,Odemira,2025-01-10,Reed-Barnes,Truck,4203,29,Guimarães,2700,41.444858,-8.296193
1234,34,Zt3051,In Transit,Elvas,Aveiro,2025-02-15,Oconnell-Anderson,Truck,3928,11,Elvas,8814,38.881153,-7.162814
